DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Other renewable	0.0	0.0	01/01/2022 05:24
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Biomass	136.0	0.0	01/01/2022 05:24
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Waste	100.0	0.0	01/01/2022 05:24
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Fossil Hard coal	0.0	0.0	01/01/2022 05:24
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Hydro Run-of-river and poundage	3902.0	0.0	21/02/2022 14:36
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Geothermal	0.07	0.0	01/01/2022 05:24
2022-01-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Fossil Gas	94.4	0.0	21/02/2022 14:36
2022-01-01 03:45:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Solar	0.0		02/01/2022 08:49
2022-01-01 03:45:00.000	PT15M	10YHU-MAVIR----U	CTY	HU CTY	HU	Wind Onshore	159.0		02/01/2022 08:21
2022-01-01 03:45:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	Fossil Hard coal	46.0		01/01/2022 05:24
2022-01-01 03:45:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	Wind Onshore	955.0		01/01/2022 05:24
2022-01-01 03:45:00.000	PT15M	10YRO-TEL------P	CTY	RO CTY	RO	Biomass	60.0		01/01/2022 05:24
